banktxn_id,created_at,client_id,bank_account_id,txn_date,txn_description,ai_fqn,ai_payee,status,pld_txn_id,confidence_fqn,confidence_payee,user_fqn,user_payee,match_fqn,match_payee,fqn_method,payee_method,check_num,txn_source,completed_at,source_file,source_user,commit_user,qbo_write_method,dup_match,txn_amount,reconcile,invoice_bill,qbo_id
34237,2025-05-22 15:43:13.673031+00,299,274,2025-01-24,Check Deposit:,NULL,NULL,saved,NULL,NULL,NULL,Accounts Payable (A/P),Amy's Bird Sanctuary,FALSE,FALSE,NULL,NULL,3139554,Check,NULL,image%20%285%29_20250522_154158,683,683,NULL,NULL,3000.00,NULL,NULL,NULL
31364,2025-05-05 13:24:35.703772+00,299,276,2022-02-01,GOLDEN STATE FAR Bill Pay,Billable Expense Income,Geeta Kalapatapu,userreview,NULL,100,100,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_132418,663,NULL,NULL,NULL,-1000.00,NULL,NULL,NULL
31365,2025-05-05 13:24:35.703772+00,299,276,2022-01-31,Check,NULL,NULL,userreview.check,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CSV,NULL,FNB%202022_20250505_132418,663,NULL,NULL,NULL,-8000.00,NULL,NULL,NULL
31366,2025-05-05 13:24:35.703772+00,299,276,2022-01-26,Deposit,Legal & Professional Fees:Accounting,Cool Cars,userreview,NULL,76,76,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,FNB%202022_20250505_132418,663,NULL,NULL,NULL,9360.00,NULL,NULL,NULL
31425,2025-05-05 14:27:31.378527+00,299,275,2024-12-27,FOX HOME Square One,,Mark Cho,cleaned,NULL,35,53,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,8.00,NULL,NULL,NULL
31426,2025-05-05 14:27:31.378527+00,299,275,2024-12-27,FOX HOME Square One,,Mark Cho,cleaned,NULL,37,53,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,51.13,NULL,NULL,NULL
31427,2025-05-05 14:27:31.378527+00,299,275,2024-12-26,LAURA/LAURA PETITES,,Ensi Test,cleaned,NULL,43,62,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,63.00,NULL,NULL,NULL
31429,2025-05-05 14:27:31.378527+00,299,275,2024-12-25,ARZ FINE FOODS,Bank Charges,Freeman Sporting Goods,userreview,NULL,82,82,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,40.22,NULL,NULL,NULL
31430,2025-05-05 14:27:31.378527+00,299,275,2024-12-25,ARZ FINE FOODS,Bank Charges,Freeman Sporting Goods,userreview,NULL,83,83,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,20.93,NULL,NULL,NULL
34240,2025-05-22 15:44:40.596935+00,299,274,2022-12-11,Check Deposit:,NULL,NULL,saved,NULL,NULL,NULL,Bank Charges,Ehsan,FALSE,FALSE,NULL,NULL,1031,Check,NULL,image%20%283%29_20250522_154158,683,683,NULL,NULL,9000.00,NULL,NULL,NULL
34241,2025-05-22 15:45:01.895349+00,299,274,2025-01-24,Check Deposit:,NULL,NULL,saved,NULL,NULL,NULL,Arizona Dept. of Revenue Payable,Diego Rodriguez,FALSE,FALSE,NULL,NULL,515,Check,NULL,image%20%284%29_20250522_154158,683,683,NULL,NULL,12931.41,NULL,NULL,NULL
31428,2025-05-05 14:27:31.378527+00,299,275,2024-12-26,PALETTAMERICA,Legal & Professional Fees:Accounting,Cool Cars,excluded,NULL,51,51,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,663,NULL,NULL,20.90,NULL,NULL,NULL
34054,2025-05-11 19:46:04.944184+00,180,90,2023-07-19,HEER CUSTOM FARM Bill Pay,Cost of goods sold:Cost of labor - COGS,Heer Farms,complete,NULL,69,69,Cost of goods sold:Cost of labor - COGS,Heer Farms,TRUE,TRUE,similarity_matching,similarity_matching,NULL,CSV,2025-05-14 21:00:35.635719,FNB%202023_20250511_194513,528,528,purchase,NULL,-2566.67,NULL,NULL,NULL
31390,2025-05-05 13:42:37.198696+00,299,275,2025-01-31,BABYLON CITY MARKET SACRAMENTO CA,Accounts Receivable (A/R),Amy's Bird Sanctuary,error,NULL,66,66,Accounts Payable (A/P),Amy's Bird Sanctuary,FALSE,TRUE,similarity_matching,similarity_matching,NULL,CSV,NULL,Since%20Jan%2025%2C%202025_20250505_134227,663,663,purchase,NULL,47.55,Cleared,NULL,NULL
34236,2025-05-22 15:42:38.714986+00,299,274,2023-01-26,Check Expense:,NULL,NULL,userreview,NULL,NULL,NULL,NULL,Cool Cars,FALSE,FALSE,NULL,NULL,1036,Check,NULL,image%20%287%29_20250522_154158,683,663,NULL,NULL,-10000.00,NULL,NULL,NULL
31431,2025-05-05 14:27:31.378527+00,299,275,2024-12-25,MILAN ICE CREAM & PAAN,,Cara Mia,cleaned,NULL,42,62,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,2.09,NULL,NULL,NULL
31432,2025-05-05 14:27:31.378527+00,299,275,2024-12-24,UBER CANADA/UBEREATS,,Norton Lumber and Building Materials,cleaned,NULL,40,43,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,26.36,NULL,NULL,NULL
31433,2025-05-05 14:27:31.378527+00,299,275,2024-12-22,BEL AIR MART #528,Miscellaneous,Kate Whelan,userreview,NULL,53,53,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,35.86,NULL,NULL,NULL
31434,2025-05-05 14:27:31.378527+00,299,275,2024-12-23,COMCAST CALIFORNIA,Accounts Receivable (A/R),Amy's Bird Sanctuary,userreview,NULL,55,55,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,147.68,NULL,NULL,NULL
31435,2025-05-05 14:27:31.378527+00,299,275,2024-12-22,SUBZI MANDI CASH & CAR,,Audi,cleaned,NULL,48,67,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,6.97,NULL,NULL,NULL
31436,2025-05-05 14:27:31.378527+00,299,275,2024-12-21,Uniqlo Canada HTC,Legal & Professional Fees:Accounting,Cool Cars,userreview,NULL,50,50,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,236.27,NULL,NULL,NULL
31437,2025-05-05 14:27:31.378527+00,299,275,2024-12-20,Uniqlo Canada HTC,Legal & Professional Fees:Accounting,Cool Cars,userreview,NULL,50,50,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,-38.97,NULL,NULL,NULL
31438,2025-05-05 14:27:31.378527+00,299,275,2024-12-20,ARZ FINE FOODS,Bank Charges,Freeman Sporting Goods,userreview,NULL,82,82,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,80.55,NULL,NULL,NULL
31439,2025-05-05 14:27:31.378527+00,299,275,2024-12-18,WAL-MART SUPERCENTER#1061,Insurance:Workers Compensation,Red Rock Diner,userreview,NULL,52,52,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,111.87,NULL,NULL,NULL
31440,2025-05-05 14:27:31.649788+00,299,275,2024-12-17,KARACHI FOOD COURT,Meals and Entertainment,Cara Mia,cleaned,NULL,43,53,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,1.76,NULL,NULL,NULL
31441,2025-05-05 14:27:31.649788+00,299,275,2024-12-17,KARACHI FOOD COURT,Meals and Entertainment,Cara Mia,cleaned,NULL,42,53,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,13.35,NULL,NULL,NULL
31442,2025-05-05 14:27:31.649788+00,299,275,2024-12-17,CLEO 444,Legal & Professional Fees,Pam Seitz,userreview,NULL,50,50,NULL,NULL,NULL,NULL,similarity_matching,similarity_matching,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,51.79,NULL,NULL,NULL
31443,2025-05-05 14:27:31.649788+00,299,275,2024-12-17,UBER* EATS,Meals and Entertainment,test,cleaned,NULL,46,50,NULL,NULL,NULL,NULL,rag,ngram-fuzzy,NULL,CSV,NULL,2025-02-04_transaction_download_20250505_142601,673,NULL,NULL,NULL,14.70,NULL,NULL,NULL
